VARIABLES =        it  Vd(1)  Vd(2)  Vd(3)  Vd(4)    fob  AF_ot fob_ot
                 208    56      56    55    61    7.88515       168    6.68855    
                 209    59      60    56    60    7.25916       168    6.68855    
                 210    59      60    56    61    6.82176       168    6.68855    
                 211    53      56    56    61    8.83112       168    6.68855    
                 212    56      58    54    61    9.14596       168    6.68855    
                 213    56      58    56    60    8.04856       168    6.68855    
                 214    56      56    56    60    7.52752       168    6.68855    
                 215     4      56    56    61    53.0184       168    6.68855    
                 216    56      60    56    61    6.73131       168    6.68855    
                 217    58      60    57    60    8.99635       168    6.68855    
                 218    56      59    53    58    10.7343       168    6.68855    
                 219    59      56    56    58    8.44580       168    6.68855    
                 220    42      55    56    61    11.8048       168    6.68855    
                 221    15      60    59    58    26.4268       168    6.68855    
                 222    59      58    57    61    8.98981       168    6.68855    
                 223    56      61    56    59    8.94141       168    6.68855    
                 224    58      56    56    61    7.62953       168    6.68855    
                 225    58      60    56     2    60.0617       168    6.68855    
                 226    56      54    56    61    8.21643       227    6.60119    
                 227    56      56    60    61    6.60119       227    6.60119    
                 228    59      59    56    61    7.26792       227    6.60119    
                 229    56      57    57    57    10.9882       227    6.60119    
                 230    59      60    60    59    7.19003       227    6.60119    
                 231    56      56    54    61    8.62492       227    6.60119    
                 232    56      56    59    61    7.20916       227    6.60119    
                 233    56      59    58    61    7.88748       227    6.60119    
                 234    53      59    56    61    8.91848       227    6.60119    
                 235    56      60    58    59    8.29852       227    6.60119    
                 236    56      58    53    60    10.3401       227    6.60119    
                 237    56      59    56    60    7.61488       227    6.60119    
                 238    56      60    60    58    7.50763       227    6.60119    
                 239    56      56     1    61    90.0758       227    6.60119    
                 240    57      60    56    61    7.71002       227    6.60119    
                 241    56      56    33    61    13.0380       227    6.60119    
                 242    56      53    56    61    8.77179       227    6.60119    
                 243    57      60    56    60    8.14743       227    6.60119    
                 244    17      60    56    61    21.1988       227    6.60119    
                 245    56      47    56    59    11.0330       227    6.60119    
                 246    56      56    54    60    9.06232       227    6.60119    
                 247    59      56    56    49    9.62591       227    6.60119    
